listing_id,listing_date,district,rooms,listing_price_usd,source_url,size_m2,level,max_levels,is_new_building,collected_at_utc
91662,2026-08-05,Yunusobod,1,18000,https://hata.uz/en/listings/object/kvartiralar-atigi-600-ye-m2-yangi-hayot-uchun-eng-yaxshi-boshlanish-91662,30.0,12,12,1,2026-08-21T23:55:40+00:00
91667,2026-08-05,Yunusobod,1,18000,https://hata.uz/en/listings/object/bugun-zamonaviy-uyga-egalik-qiling-narxlar-600-yedan-91667,30.0,12,12,1,2026-08-21T23:55:40+00:00
91672,2026-08-05,Yunusobod,1,19255,https://hata.uz/en/listings/object/novostroyka-turkiston-avenyu-295m2-100-tolovga-91672,29.5,12,16,1,2026-08-21T23:55:40+00:00
91676,2026-08-05,Yunusobod,1,21452,https://hata.uz/en/listings/object/super-predlozhenie-v-novostroyke-888-91676,38.7,7,9,1,2026-08-21T23:55:40+00:00
91691,2026-08-05,Yunusobod,1,23853,https://hata.uz/en/listings/object/turkiston-avenue-novostroyka-v-yunusabadskom-r-n-rassrochka-na-36-mes-91691,28.9,4,16,1,2026-08-21T23:55:40+00:00
91699,2026-08-05,Yunusobod,2,15000,https://hata.uz/en/listings/object/shahar-markazida-arzon-narhlarda-bulib-berishga-shu-yil-topshiriladi-bd-91699,52.0,16,4,1,2026-08-21T23:55:40+00:00
91700,2026-08-05,Yunusobod,2,13500,https://hata.uz/en/listings/object/idealno-dlya-semi-i-biznesa-na-novostroyku-v-yunusabade-bg-91700,61.0,6,9,1,2026-08-21T23:55:40+00:00
91702,2026-08-05,Yunusobod,1,18000,https://hata.uz/en/listings/object/toshkent-sizga-yaqin-markazda-uylar-arzon-kvartira-600-ue-m2-dan-91702,30.0,12,12,1,2026-08-21T23:55:40+00:00
91703,2026-08-05,Yunusobod,1,18000,https://hata.uz/en/listings/object/kvartira-biznes-klassa-ot-600-ue-m2-tolko-na-starte-prodazh-222-91703,30.0,12,12,1,2026-08-21T23:55:40+00:00
91716,2026-08-05,Yunusobod,1,18000,https://hata.uz/en/listings/object/arzon-kvartira-arzon-narxda-600-ue-91716,30.0,14,14,1,2026-08-21T23:55:40+00:00
91724,2026-08-05,Yunusobod,1,18000,https://hata.uz/en/listings/object/kvartiralar-600-ye-m2-danzamonaviy-uylar-sotuv-boshlandi-toshkent-91724,30.0,12,12,1,2026-08-21T23:55:40+00:00
91732,2026-08-05,Yunusobod,1,18000,https://hata.uz/en/listings/object/yunusobod-prime-location-just-minutes-from-the-city-center-91732,30.0,12,12,1,2026-08-21T23:55:40+00:00
91736,2026-08-05,Yunusobod,1,18400,https://hata.uz/en/listings/object/turkiston-avenyu-dan-3-boskich-kotlavani-boshlandi-1080-91736,29.5,10,16,1,2026-08-21T23:55:40+00:00
91737,2026-08-05,Yunusobod,1,22500,https://hata.uz/en/listings/object/chala-qozoq-1-6-6-91737,42.0,6,6,1,2026-08-21T23:55:40+00:00
91853,2026-08-05,Yunusobod,1,37000,https://hata.uz/en/listings/object/honsaroy-orzular-2-ta-bir-honali-yonmayon-uylar-sotiladi-91853,38.0,14,17,1,2026-08-21T23:55:40+00:00
91861,2026-08-05,Yunusobod,1,34000,https://hata.uz/en/listings/object/xon-saroy-kvartira-sotiladi-91861,37.0,11,17,1,2026-08-21T23:55:40+00:00
91862,2026-08-05,Yunusobod,1,34000,https://hata.uz/en/listings/object/novostroyka-xonsaroy-yunusobod-91862,37.0,2,17,1,2026-08-21T23:55:40+00:00
91863,2026-08-05,Yunusobod,1,34000,https://hata.uz/en/listings/object/xonsaroy-zorsan-1-xona-sotiladi-91863,37.0,11,17,1,2026-08-21T23:55:40+00:00
91864,2026-08-05,Yunusobod,1,34000,https://hata.uz/en/listings/object/novostroyka-yunusobod-xonsaroy-zorsan-91864,36.6,11,17,1,2026-08-21T23:55:40+00:00
91866,2026-08-05,Yunusobod,1,34000,https://hata.uz/en/listings/object/novostroyka-yunusobod-xonsaroy-91866,37.0,11,17,1,2026-08-21T23:55:40+00:00
91868,2026-08-05,Yunusobod,1,34000,https://hata.uz/en/listings/object/yunusobod-honsaroy-zorsan-91868,37.0,14,17,1,2026-08-21T23:55:40+00:00
91869,2026-08-05,Yunusobod,1,34000,https://hata.uz/en/listings/object/xonsaroy-zorsan-kvartiralar-sotiladi-91869,37.0,11,17,1,2026-08-21T23:55:40+00:00
91870,2026-08-05,Yunusobod,1,34000,https://hata.uz/en/listings/object/xonsaroy-zorsan-kvartira-sotiladi-91870,37.0,11,17,1,2026-08-21T23:55:40+00:00
